date,log_dp,log_dy,log_ep,log_de,bm,ntis,tbl,lty,ltr,tml,dfy,dfr,infl_lag,target
1956-04-01,-3.317569668242864,-3.317569668242864,-2.5816233577686063,-0.7359463104742577,0.5266217158800279,0.026213748735125615,0.026000000000000002,0.0311,-0.0113,0.005099999999999997,0.004399999999999994,-0.00020000000000000052,-3.317569668242864,-0.002803666666666667
1956-05-01,-3.2363562611576944,-3.2363562611576944,-2.521864438561426,-0.7144918225962681,0.568559774082209,0.02930298262512309,0.026099999999999998,0.0299,0.0225,0.0038000000000000013,0.004500000000000004,-0.0173,-3.2363562611576944,-0.060589000000000004
1956-06-01,-3.2617224351367846,-3.2617224351367846,-2.568575254576839,-0.6931471805599453,0.5515645927188604,0.025671522082138493,0.024900000000000002,0.0299,0.0027,0.0049999999999999975,0.0049999999999999975,-0.0045000000000000005,-3.2617224351367846,0.036835
1956-07-01,-3.304583040589775,-3.304583040589775,-2.6318627825696885,-0.6727202580200868,0.5249029566829533,0.02475360616689577,0.0231,0.0313,-0.0209,0.008200000000000002,0.005200000000000003,0.0116,-3.304583040589775,0.049502
1956-08-01,-3.258445578091162,-3.258445578091162,-2.606273345987485,-0.6521722321036769,0.5413911242132101,0.023811483306661402,0.026000000000000002,0.0325,-0.0187,0.006499999999999999,0.0049999999999999975,-0.0020999999999999977,-3.258445578091162,-0.03495466666666666
1956-09-01,-3.2046446049402513,-3.2046446049402513,-2.573141587491513,-0.6315030174487385,0.5719095213045766,0.02936194924148792,0.028399999999999998,0.0324,0.005,0.004,0.0051,-0.0038000000000000004,-3.2046446049402513,-0.04638866666666667
1956-10-01,-3.227983652017345,-3.227983652017345,-2.5830299974087803,-0.6449536546085646,0.5664270084401375,0.02945732166408802,0.028999999999999998,0.0329,-0.0054,0.0039000000000000007,0.0058,-0.0051,-3.227983652017345,0.004202333333333334
1956-11-01,-3.235579554187147,-3.235579554187147,-2.5768497450504935,-0.6587298091366536,0.5748974152882949,0.02708845772572853,0.029900000000000003,0.0333,-0.0057,0.0034000000000000002,0.005499999999999998,-0.0069,-3.235579554187147,-0.004412666666666667
1956-12-01,-3.2892164467352867,-3.2892164467352867,-2.616389268666299,-0.6728271780689877,0.5441768274370833,0.026149367267363086,0.0321,0.0345,-0.0179,0.0024000000000000063,0.006200000000000004,0.009699999999999999,-3.2892164467352867,0.033609
1957-01-01,-3.248451342365723,-3.248451342365723,-2.574685554266292,-0.6737657880994308,0.5672426746806912,0.027991993943420845,0.0311,0.0328,0.0346,0.0017000000000000036,0.007200000000000005,-0.0149,-3.248451342365723,-0.04282966666666667
